[32m2025-07-18 23:51:42 [info]  request GET /api/app:getLang?locale         [39m method=GET path=/api/app:getLang?locale req={"header":{"x-role":"anonymous","x-hostname":"work-1-ncthudkalgtaztqc.prod-runtime.all-hands.dev","x-timezone":"-07:00"}} app=main reqId=691971c6-828b-4804-9038-81fd46009cbb
[32m2025-07-18 23:51:43 [info]  response /api/app:getLang?locale            [39m method=GET path=/api/app:getLang?locale res={"status":200} action={"actionName":"getLang","resourceName":"app","params":{"locale":null,"resourceName":"app","actionName":"getLang","values":{}}} status=200 cost=363 app=main reqId=691971c6-828b-4804-9038-81fd46009cbb bodySize=201014
[32m2025-07-18 23:51:43 [info]  request GET /api/pm:listEnabled             [39m method=GET path=/api/pm:listEnabled req={"header":{"x-hostname":"work-1-ncthudkalgtaztqc.prod-runtime.all-hands.dev","x-timezone":"-07:00","x-locale":"en-US"}} app=main reqId=ec516b6e-6ef7-439b-a728-499ff5b2521c
[32m2025-07-18 23:51:43 [info]  response /api/pm:listEnabled                [39m method=GET path=/api/pm:listEnabled res={"status":200} action={"actionName":"listEnabled","resourceName":"pm","params":{"resourceName":"pm","actionName":"listEnabled","values":{}}} status=200 cost=13 app=main reqId=ec516b6e-6ef7-439b-a728-499ff5b2521c bodySize=17519
[32m2025-07-18 23:51:54 [info]  request GET /api/app:getLang?locale=en-US   [39m method=GET path=/api/app:getLang?locale=en-US req={"header":{"x-role":"anonymous","x-hostname":"work-1-ncthudkalgtaztqc.prod-runtime.all-hands.dev","x-timezone":"-07:00","x-locale":"en-US"}} app=main reqId=9923dae7-dd90-4ab1-a19e-7a1fefb6fa23
[32m2025-07-18 23:51:54 [info]  response /api/app:getLang?locale=en-US      [39m method=GET path=/api/app:getLang?locale=en-US res={"status":200} action={"actionName":"getLang","resourceName":"app","params":{"locale":"en-US","resourceName":"app","actionName":"getLang","values":{}}} status=200 cost=327 app=main reqId=9923dae7-dd90-4ab1-a19e-7a1fefb6fa23 bodySize=201014
[32m2025-07-18 23:51:54 [info]  request GET /api/pm:listEnabled             [39m method=GET path=/api/pm:listEnabled req={"header":{"x-hostname":"work-1-ncthudkalgtaztqc.prod-runtime.all-hands.dev","x-timezone":"-07:00","x-locale":"en-US"}} app=main reqId=3b937c8f-346c-4d54-80ba-6a017a349e1b
[32m2025-07-18 23:51:54 [info]  response /api/pm:listEnabled                [39m method=GET path=/api/pm:listEnabled res={"status":200} action={"actionName":"listEnabled","resourceName":"pm","params":{"resourceName":"pm","actionName":"listEnabled","values":{}}} status=200 cost=12 app=main reqId=3b937c8f-346c-4d54-80ba-6a017a349e1b bodySize=17519
[32m2025-07-18 23:52:09 [info]  request GET /api/app:getLang?locale=en-US   [39m method=GET path=/api/app:getLang?locale=en-US req={"header":{"x-role":"anonymous","x-hostname":"work-1-ncthudkalgtaztqc.prod-runtime.all-hands.dev","x-timezone":"-07:00","x-locale":"en-US"}} app=main reqId=16310cad-01c6-406c-93ec-f0091011c516
[32m2025-07-18 23:52:10 [info]  response /api/app:getLang?locale=en-US      [39m method=GET path=/api/app:getLang?locale=en-US res={"status":200} action={"actionName":"getLang","resourceName":"app","params":{"locale":"en-US","resourceName":"app","actionName":"getLang","values":{}}} status=200 cost=336 app=main reqId=16310cad-01c6-406c-93ec-f0091011c516 bodySize=201014
[32m2025-07-18 23:52:10 [info]  request GET /api/pm:listEnabled             [39m method=GET path=/api/pm:listEnabled req={"header":{"x-hostname":"work-1-ncthudkalgtaztqc.prod-runtime.all-hands.dev","x-timezone":"-07:00","x-locale":"en-US"}} app=main reqId=b6e73987-ce14-4e64-819b-1d211f1f01d8
[32m2025-07-18 23:52:10 [info]  response /api/pm:listEnabled                [39m method=GET path=/api/pm:listEnabled res={"status":200} action={"actionName":"listEnabled","resourceName":"pm","params":{"resourceName":"pm","actionName":"listEnabled","values":{}}} status=200 cost=11 app=main reqId=b6e73987-ce14-4e64-819b-1d211f1f01d8 bodySize=17519
